City,State_prov,Cities_States,lat,lon
Athens,GA,Athens GA,44.052069,-123.086754
Newark,NJ,Newark NJ,37.45809,-122.115398
Miami,FL,Miami FL,37.052748,-122.111126
Merced,CA,Merced CA,38.55413,-121.798469
Long Beach,CA,Long Beach CA,37.345785,-120.42415
Washington,DC,Washington DC,33.803448,-118.168135
Ithaca,NY,Ithaca NY,33.870292,-117.925338
Eugene,OR,Eugene OR,33.953349,-117.396156
Palo Alto,CA,Palo Alto CA,30.326374,-97.771258
Pittsburgh,PA,Pittsburgh PA,29.813142,-95.309789
Princeton,NJ,Princeton NJ,30.068812,-89.930956
Houston,TX,Houston TX,41.902042,-87.658544
Bloomington,IN,Bloomington IN,40.406906,-86.889
Chicago,IL,Chicago IL,36.165688,-86.778098
Richmond,VA,Richmond VA,39.07881,-86.435094
Staten Island,NY,Staten Island NY,42.763888,-84.458771
Austin,TX,Austin TX,33.992902,-83.353697
New Orleans,LA,New Orleans LA,40.100924,-83.013402
Nashville,TN,Nashville TN,25.753132,-80.234427
Davis,CA,Davis CA,40.47441,-79.950968
Williamsburg,VA,Williamsburg VA,40.799672,-77.862339
Santa Cruz,CA,Santa Cruz CA,37.441123,-77.315342
New York,NY,New York NY,38.895112,-77.036366
W. Lafayette,IN,W. Lafayette IN,37.310451,-76.746769
Riverside,CA,Riverside CA,42.402794,-76.483999
Boston,MA,Boston MA,40.001811,-75.11787
University Park,PA,University Park PA,40.343625,-74.693953
Columbus,OH,Columbus OH,40.736101,-74.22509
Fullerton,CA,Fullerton CA,40.623632,-74.093323
East Lansing,MI,East Lansing MI,40.714269,-74.005973
Philadelphia,PA,Philadelphia PA,42.370567,-71.026964
